Date,T10Y2YM,T10Y2YMrate
2015-02-01,1.36,0.022556390977443552
2015-03-01,1.4,0.02941176470588225
2015-04-01,1.4,0.0
2015-05-01,1.59,0.1357142857142859
2015-06-01,1.67,0.05031446540880502
2015-07-01,1.65,-0.0119760479041916
2015-08-01,1.47,-0.10909090909090902
2015-09-01,1.46,-0.006802721088435382
2015-10-01,1.43,-0.020547945205479423
2015-11-01,1.38,-0.034965034965035
2015-12-01,1.26,-0.08695652173913038
2016-01-01,1.19,-0.05555555555555558
2016-02-01,1.05,-0.11764705882352933
2016-03-01,1.01,-0.03809523809523818
2016-04-01,1.04,0.02970297029702973
2016-05-01,0.99,-0.04807692307692313
2016-06-01,0.91,-0.08080808080808077
2016-07-01,0.83,-0.08791208791208793
2016-08-01,0.82,-0.012048192771084376
2016-09-01,0.86,0.04878048780487809
2016-10-01,0.92,0.06976744186046524
2016-11-01,1.16,0.26086956521739113
2016-12-01,1.29,0.11206896551724155
2017-01-01,1.22,-0.054263565891472965
2017-02-01,1.22,0.0
2017-03-01,1.17,-0.040983606557377095
2017-04-01,1.06,-0.0940170940170939
2017-05-01,1.0,-0.05660377358490576
2017-06-01,0.85,-0.15000000000000002
2017-07-01,0.95,0.11764705882352944
2017-08-01,0.87,-0.0842105263157894
2017-09-01,0.82,-0.05747126436781613
2017-10-01,0.81,-0.012195121951219412
2017-11-01,0.65,-0.19753086419753085
2017-12-01,0.56,-0.1384615384615384
2018-01-01,0.55,-0.017857142857142905
2018-02-01,0.68,0.23636363636363633
2018-03-01,0.56,-0.17647058823529405
2018-04-01,0.49,-0.1250000000000001
2018-05-01,0.47,-0.04081632653061229
2018-06-01,0.38,-0.1914893617021276
2018-07-01,0.28,-0.26315789473684204
2018-08-01,0.25,-0.1071428571428572
2018-09-01,0.23,-0.07999999999999996
2018-10-01,0.29,0.26086956521739113
2018-11-01,0.26,-0.10344827586206884
2018-12-01,0.15,-0.42307692307692313
2019-01-01,0.17,0.13333333333333353
2019-02-01,0.18,0.0588235294117645
2019-03-01,0.16,-0.11111111111111105
2019-04-01,0.19,0.1875
2019-05-01,0.19,0.0
2019-06-01,0.26,0.368421052631579
2019-07-01,0.22,-0.15384615384615385
2019-08-01,0.06,-0.7272727272727273
2019-09-01,0.05,-0.16666666666666663
2019-10-01,0.16,2.1999999999999997
2019-11-01,0.2,0.25
2019-12-01,0.25,0.25
2020-01-01,,
2020-02-01,,
2020-03-01,,
